date,y_true,y_pred,pos,r_gross,cost,r_net,model,H,strategy,tau,phase,allow_short,tc_bps,use_non_overlapping,is_baseline,ref_model
2022-04-06,0.0015048911794206,0.0009027653013274,1,0.0015048911794206,0.0,0.0015048911794206,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-04-07,0.0005011275474453,0.0004090484348218,1,0.0005011275474453,0.0,0.0005011275474453,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-04-08,0.0013017575562797,0.0008354119774564,1,0.0013017575562797,0.0,0.0013017575562797,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-04-11,0.0035960482264192,0.0011314894140654,1,0.0035960482264192,0.0,0.0035960482264192,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-04-12,-0.0040965236885446,0.000720471886875,1,-0.0040965236885446,0.0,-0.0040965236885446,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-04-13,0.0043956114730381,-0.0001049599188961,-1,-0.0043956114730381,0.0002,-0.0045956114730380995,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-04-14,0.0,0.0011642787580419,1,0.0,0.0002,-0.0002,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-04-15,0.0045748463678414,0.0009390004354145,1,0.0045748463678414,0.0,0.0045748463678414,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-04-18,0.0017844755404503,0.0002396703576771,1,0.0017844755404503,0.0,0.0017844755404503,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-04-19,-0.0056617980894673,1.4029450315999354e-05,1,-0.0056617980894673,0.0,-0.0056617980894673,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-04-20,0.0018908300403834,0.00057645878476,1,0.0018908300403834,0.0,0.0018908300403834,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-04-21,0.0063429350421131,0.0012258554988728,1,0.0063429350421131,0.0,0.0063429350421131,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-04-22,0.0052224585367728,0.0013824226758883,1,0.0052224585367728,0.0,0.0052224585367728,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-04-25,0.0053908486348763,0.0008248388325889,1,0.0053908486348763,0.0,0.0053908486348763,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-04-26,0.0063337605162177,0.0019103034657219,1,0.0063337605162177,0.0,0.0063337605162177,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-04-27,0.0064869279128432,0.0008692367154744,1,0.0064869279128432,0.0,0.0064869279128432,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-04-28,-0.0063897980987706,-0.0002542530247795,-1,0.0063897980987706,0.0002,0.0061897980987706,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-04-29,0.0075472056353831,0.0022355359749577,1,0.0075472056353831,0.0002,0.0073472056353831,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-05-02,-0.0027027043478851,6.053090642474392e-05,1,-0.0027027043478851,0.0,-0.0027027043478851,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-05-03,-0.0084446024757482,0.0008550712397261,1,-0.0084446024757482,0.0,-0.0084446024757482,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-05-04,0.0112436970111868,-0.0004261098569646,-1,-0.0112436970111868,0.0002,-0.0114436970111868,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-05-05,-0.000867846349247,0.0016762978355355,1,-0.000867846349247,0.0002,-0.0010678463492470001,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-05-06,-9.647387977196332e-05,0.0012622751025825,1,-9.647387977196332e-05,0.0,-9.647387977196332e-05,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-05-09,0.0026015334805551,0.0019602933113811,1,0.0026015334805551,0.0,0.0026015334805551,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-05-10,-0.0006738220402224,0.0009078163974399,1,-0.0006738220402224,0.0,-0.0006738220402224,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-05-11,0.0095832070258072,0.0017722865124056,1,0.0095832070258072,0.0,0.0095832070258072,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-05-12,-0.0027696880319627,0.0010619558970769,1,-0.0027696880319627,0.0,-0.0027696880319627,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-05-13,-0.0035449138918739,2.2687541047053285e-05,1,-0.0035449138918739,0.0,-0.0035449138918739,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-05-16,-0.0079981153898005,0.001350861741076,1,-0.0079981153898005,0.0,-0.0079981153898005,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-05-17,0.0043442651708627,-0.0004936424357325,-1,-0.0043442651708627,0.0002,-0.0045442651708626994,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-05-18,-0.0105554652635033,0.0027334247766475,1,-0.0105554652635033,0.0002,-0.010755465263503301,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-05-19,0.0041773995756102,0.0010584331770166,1,0.0041773995756102,0.0,0.0041773995756102,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-05-20,-0.0104274199207816,0.0002971395094161,1,-0.0104274199207816,0.0,-0.0104274199207816,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-05-23,-0.0021574981400211,0.0002248336483078,1,-0.0021574981400211,0.0,-0.0021574981400211,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-05-24,0.0019615541793669,0.0008447147237963,1,0.0019615541793669,0.0,0.0019615541793669,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-05-25,-0.0022561194522516,0.0008507751435653,1,-0.0022561194522516,0.0,-0.0022561194522516,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-05-26,-0.0015724818965034,-0.0002070151735863,-1,0.0015724818965034,0.0002,0.0013724818965034,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-05-27,0.0,-0.0001344654334527,-1,-0.0,0.0,-0.0,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-05-30,0.0007865500356345,0.0005422989357088,1,0.0007865500356345,0.0002,0.0005865500356345,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-05-31,0.0073439742557583,0.0009660397060701,1,0.0073439742557583,0.0,0.0073439742557583,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-06-01,-0.0066562501042728,0.0011433409234174,1,-0.0066562501042728,0.0,-0.0066562501042728,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-06-02,0.0031378727453077,-0.0001982562918606,-1,-0.0031378727453077,0.0002,-0.0033378727453077,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-06-03,0.0029328401118267,0.001449957483109,1,0.0029328401118267,0.0002,0.0027328401118267,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-06-06,-0.0011721040607373,0.000465225671625,1,-0.0011721040607373,0.0,-0.0011721040607373,ElasticNet,1,model,0.0,0,True,1.0,True,False,
