model,H,method,feature,importance_mean
LightGBM,1,permutation,US_10Y,-9.803147548583498e-07
LightGBM,1,permutation,US_3M,5.4469446096861056e-08
LightGBM,1,permutation,US_CPI,3.141719187416571e-07
LightGBM,1,permutation,US_Mkt_Index,2.6781904489246277e-05
LightGBM,1,permutation,US_TermSpread,4.850157985947225e-08
LightGBM,1,permutation,VIX,-3.3156260599528045e-07
LightGBM,1,permutation,WTI,-6.385058615108601e-07
LightGBM,1,permutation,ret_lag_1,5.710934233995871e-06
LightGBM,1,permutation,ret_lag_10,7.096611596736283e-07
LightGBM,1,permutation,ret_lag_2,-1.4916191822628961e-06
LightGBM,1,permutation,ret_lag_20,-1.1590475504505651e-05
LightGBM,1,permutation,ret_lag_5,-1.607781106080986e-08
LightGBM,1,treeshap_lgbm,BBW_20,2.8749468651166308e-05
LightGBM,1,treeshap_lgbm,BBW_5,5.12805366020079e-06
LightGBM,1,treeshap_lgbm,BBW_60,2.5692559148091767e-05
LightGBM,1,treeshap_lgbm,CN_10Y,3.591824616047297e-05
LightGBM,1,treeshap_lgbm,CN_CPI,2.1385778727750424e-05
LightGBM,1,treeshap_lgbm,CN_Mkt_Index,5.368700285713371e-06
LightGBM,1,treeshap_lgbm,EPU_D,7.435913539732141e-06
LightGBM,1,treeshap_lgbm,Euro_CPI,7.103670498770551e-06
LightGBM,1,treeshap_lgbm,GDP,4.962435701613368e-07
LightGBM,1,treeshap_lgbm,GER_10Y,9.794075479973191e-06
LightGBM,1,treeshap_lgbm,GER_3M,8.434911387720256e-06
LightGBM,1,treeshap_lgbm,GER_Mkt_Index,7.578522573741304e-06
LightGBM,1,treeshap_lgbm,GER_TermSpread,8.643398849227817e-06
LightGBM,1,treeshap_lgbm,GOLD,1.2911452744073725e-05
LightGBM,1,treeshap_lgbm,HK_Mkt_Index,6.457574424315104e-06
LightGBM,1,treeshap_lgbm,JP_10Y,8.824895423657019e-06
LightGBM,1,treeshap_lgbm,JP_CPI,0.00025680415948139566
LightGBM,1,treeshap_lgbm,JP_Mkt_Index,3.2438795079847524e-05
LightGBM,1,treeshap_lgbm,MA_gap_20,1.5109788441866053e-05
LightGBM,1,treeshap_lgbm,MA_gap_5,2.167096670619837e-05
LightGBM,1,treeshap_lgbm,MA_gap_60,1.4431707063702348e-05
LightGBM,1,treeshap_lgbm,Output_Gap,5.321347558682835e-06
LightGBM,1,treeshap_lgbm,UK_10Y,7.446882291195636e-06
LightGBM,1,treeshap_lgbm,UK_3M,3.460870831038452e-06
LightGBM,1,treeshap_lgbm,UK_Mkt_Index,4.40994372345307e-06
LightGBM,1,treeshap_lgbm,UK_TermSpread,1.6210722564125885e-05
LightGBM,1,treeshap_lgbm,USD_CNY,2.086553334602243e-05
LightGBM,1,treeshap_lgbm,USD_EUR,0.0001284749639690754
LightGBM,1,treeshap_lgbm,USD_Futures,8.202495053013584e-05
LightGBM,1,treeshap_lgbm,USD_GBP,2.1178397302814155e-05
LightGBM,1,treeshap_lgbm,USD_JPY,1.9475258613076326e-05
LightGBM,1,treeshap_lgbm,US_10Y,1.3622944417380604e-05
LightGBM,1,treeshap_lgbm,US_3M,1.591750551872378e-05
LightGBM,1,treeshap_lgbm,US_CPI,8.031571387467791e-05
LightGBM,1,treeshap_lgbm,US_Mkt_Index,0.00011811566331002677
LightGBM,1,treeshap_lgbm,US_TermSpread,3.416419837464098e-05
LightGBM,1,treeshap_lgbm,VIX,1.5245802908157351e-05
LightGBM,1,treeshap_lgbm,WTI,9.787394708234079e-06
LightGBM,1,treeshap_lgbm,ret_lag_1,2.835209277112558e-05
LightGBM,1,treeshap_lgbm,ret_lag_10,1.2458673049705363e-05
LightGBM,1,treeshap_lgbm,ret_lag_2,1.7842376591562672e-05
LightGBM,1,treeshap_lgbm,ret_lag_20,4.30297100583393e-05
LightGBM,1,treeshap_lgbm,ret_lag_5,3.1134655213144154e-05
LightGBM,5,permutation,BBW_20,2.0402815935551785e-05
LightGBM,5,permutation,BBW_5,-1.174777928944277e-06
LightGBM,5,permutation,BBW_60,-3.931882185063451e-05
LightGBM,5,permutation,CN_10Y,4.593415249085137e-06
LightGBM,5,permutation,CN_CPI,2.7559780273234315e-05
LightGBM,5,permutation,CN_Mkt_Index,-1.1411863923091918e-06
LightGBM,5,permutation,EPU_D,7.831727852741477e-08
LightGBM,5,permutation,Euro_CPI,-8.516121840526345e-07
LightGBM,5,permutation,GDP,4.404518401454072e-08
LightGBM,5,permutation,GER_10Y,-1.543506477898472e-05
LightGBM,5,permutation,GER_3M,-8.681968367107493e-06
LightGBM,5,permutation,GER_Mkt_Index,2.914028584651748e-07
LightGBM,5,permutation,GER_TermSpread,4.50559139288227e-06
LightGBM,5,permutation,GOLD,-5.379191964215533e-07
LightGBM,5,permutation,HK_Mkt_Index,-1.2169819724566316e-06
LightGBM,5,permutation,JP_10Y,1.5993141763781171e-07
LightGBM,5,permutation,JP_CPI,-5.7329330554723086e-05
LightGBM,5,permutation,JP_Mkt_Index,-3.5749643110728046e-08
LightGBM,5,permutation,MA_gap_20,-1.1820467957776872e-05
LightGBM,5,permutation,MA_gap_5,-2.522658444620376e-06
LightGBM,5,permutation,MA_gap_60,-1.7060126433822965e-05
LightGBM,5,permutation,Output_Gap,-7.860806838249642e-06
LightGBM,5,permutation,UK_10Y,-9.474872432377141e-06
LightGBM,5,permutation,UK_3M,1.824689208239138e-05
LightGBM,5,permutation,UK_Mkt_Index,-5.775787273992548e-06
LightGBM,5,permutation,UK_TermSpread,-7.996401825185318e-06
LightGBM,5,permutation,USD_CNY,4.813941410623398e-07
LightGBM,5,permutation,USD_EUR,3.3879004223247865e-08
LightGBM,5,permutation,USD_Futures,2.806439216632235e-07
LightGBM,5,permutation,USD_GBP,-3.4844061662838964e-06
LightGBM,5,permutation,USD_JPY,-5.414925129859066e-07
LightGBM,5,permutation,US_10Y,-6.513983310160796e-05
LightGBM,5,permutation,US_3M,-1.975842031745302e-06
LightGBM,5,permutation,US_CPI,7.993976919837853e-06
LightGBM,5,permutation,US_Mkt_Index,-1.3736848210267812e-07
LightGBM,5,permutation,US_TermSpread,2.623742104345104e-07
LightGBM,5,permutation,VIX,-3.214345038507004e-05
