model,H,strategy,tau,phase,use_non_overlapping,is_baseline,n_obs,mean_log_ret,std_log_ret,sharpe_ann,max_drawdown,hit_rate,turnover,tc_bps,allow_short,annual_scale,annualize_mode
Lasso,20,model,0,7,TRUE,FALSE,51,0.000587267,0.01964784,0.106097736,-0.140487116,0.470588235,0,1,TRUE,3.54964787,non_overlapping
Lasso,20,model,0,8,TRUE,FALSE,51,0.000742354,0.019953628,0.132060973,-0.137771449,0.529411765,0,1,TRUE,3.54964787,non_overlapping
Lasso,20,model,0,9,TRUE,FALSE,51,0.000656927,0.02191905,0.106385092,-0.145529962,0.490196078,0,1,TRUE,3.54964787,non_overlapping
Lasso,20,model,0,10,TRUE,FALSE,51,0.000825063,0.021884742,0.133823109,-0.136201357,0.470588235,0,1,TRUE,3.54964787,non_overlapping
Lasso,20,model,0,11,TRUE,FALSE,51,0.000766528,0.020707829,0.131394961,-0.133327388,0.549019608,0,1,TRUE,3.54964787,non_overlapping
Lasso,20,model,0,12,TRUE,FALSE,51,0.000719616,0.020396924,0.125233815,-0.141795008,0.549019608,0,1,TRUE,3.54964787,non_overlapping
Lasso,20,model,0,13,TRUE,FALSE,51,0.000723972,0.020541142,0.12510726,-0.136428065,0.549019608,0,1,TRUE,3.54964787,non_overlapping
Lasso,20,model,0,14,TRUE,FALSE,51,0.000725483,0.020079698,0.128249361,-0.138439792,0.509803922,0,1,TRUE,3.54964787,non_overlapping
Lasso,20,model,0,15,TRUE,FALSE,51,0.000605765,0.020479342,0.104996223,-0.144960561,0.470588235,0,1,TRUE,3.54964787,non_overlapping
Lasso,20,model,0,16,TRUE,FALSE,51,0.000609827,0.02100661,0.103047069,-0.144246779,0.490196078,0,1,TRUE,3.54964787,non_overlapping
